node_id,x,y,square,nearest_service_point,population,assigned_population,assigned_square
4969,80149.0,31402.0,E1780N3160,753,205.0,2.77027027027027,E1780N3160
4970,80153.0,31535.0,E1780N3160,753,205.0,2.77027027027027,E1780N3160
4971,79320.0,31697.0,,753,,0.3,E1780N3160
4972,80157.0,31686.0,E1780N3160,753,205.0,2.77027027027027,E1780N3160
4973,82189.0,35555.0,E1780N3160,7229,205.0,2.77027027027027,E1780N3160
4974,82189.0,35756.0,,7229,,0.3,E1780N3165
4975,114761.0,74419.0,E1800N3205,5820,130.0,4.642857142857143,E1800N3205
4976,67775.0,47298.0,E1770N3175,4431,2235.0,23.28125,E1770N3175
4977,68118.0,47319.0,E1770N3175,4431,2235.0,23.28125,E1770N3175
4978,136260.0,38324.0,E1815N3165,657,10.0,1.1111111111111112,E1815N3165
4979,43975.0,47754.0,E1755N3175,4440,2705.0,34.67948717948718,E1755N3175
4980,44888.0,48595.0,E1755N3175,4440,2705.0,34.67948717948718,E1755N3175
4981,45048.0,48499.0,E1755N3175,4440,2705.0,34.67948717948718,E1755N3175
4982,46296.0,49361.0,E1755N3175,4440,2705.0,34.67948717948718,E1755N3175
4983,46087.0,49429.0,E1755N3175,4440,2705.0,34.67948717948718,E1755N3175
4984,47230.0,50223.0,E1755N3180,5499,1290.0,32.25,E1755N3180
4985,47289.0,50055.0,E1755N3180,5499,1290.0,32.25,E1755N3180
4986,69243.0,37399.0,E1770N3165,4987,235.0,3.5606060606060606,E1770N3165
4987,67529.0,44080.0,E1770N3170,4987,2785.0,29.010416666666668,E1770N3170
4988,57255.0,41701.0,E1760N3170,4387,1155.0,14.25925925925926,E1760N3170
4989,60717.0,43097.0,E1765N3170,4387,450.0,7.258064516129032,E1765N3170
4990,63947.0,40290.0,,4387,,0.3,E1765N3165
4991,79795.0,35041.0,E1780N3160,753,205.0,2.77027027027027,E1780N3160
4992,79223.0,35430.0,,753,,0.3,E1780N3160
4993,79276.0,37862.0,,7229,,0.3,E1780N3165
4994,79283.0,38011.0,,7229,,0.3,E1780N3165
4995,78491.0,37870.0,E1775N3165,7229,850.0,12.5,E1775N3165
4997,78581.0,36904.0,E1775N3165,7229,850.0,12.5,E1775N3165
4998,78587.0,37108.0,E1775N3165,7229,850.0,12.5,E1775N3165
4999,78383.0,37112.0,E1775N3165,7229,850.0,12.5,E1775N3165
5000,78341.0,36233.0,E1775N3165,7229,850.0,12.5,E1775N3165
5001,78791.0,36901.0,E1775N3165,7229,850.0,12.5,E1775N3165
5002,78161.0,37116.0,E1775N3165,7229,850.0,12.5,E1775N3165
5003,78142.0,36731.0,E1775N3165,7229,850.0,12.5,E1775N3165
5004,78793.0,37105.0,E1775N3165,7229,850.0,12.5,E1775N3165
5005,77953.0,37120.0,E1775N3165,7229,850.0,12.5,E1775N3165
5006,77941.0,36912.0,E1775N3165,7229,850.0,12.5,E1775N3165
5007,78546.0,36229.0,E1775N3165,7229,850.0,12.5,E1775N3165
5008,79439.0,36511.0,E1780N3165,7229,140.0,1.4736842105263157,E1780N3165
5009,79449.0,36760.0,E1780N3165,7229,140.0,1.4736842105263157,E1780N3165
5010,79668.0,36507.0,E1780N3165,7229,140.0,1.4736842105263157,E1780N3165
5011,79677.0,36755.0,E1780N3165,7229,140.0,1.4736842105263157,E1780N3165
5012,79868.0,36319.0,E1780N3165,7229,140.0,1.4736842105263157,E1780N3165
5013,79877.0,36503.0,E1780N3165,7229,140.0,1.4736842105263157,E1780N3165
5014,79661.0,36323.0,E1780N3165,7229,140.0,1.4736842105263157,E1780N3165
5015,78979.0,36222.0,E1775N3165,7229,850.0,12.5,E1775N3165
5016,78997.0,36768.0,E1775N3165,7229,850.0,12.5,E1775N3165
5017,79150.0,36218.0,,7229,,0.3,E1775N3165
5018,78759.0,36225.0,E1775N3165,7229,850.0,12.5,E1775N3165
5019,78788.0,36772.0,E1775N3165,7229,850.0,12.5,E1775N3165
5020,79783.0,38139.0,E1780N3165,7229,140.0,1.4736842105263157,E1780N3165
5021,79375.0,36902.0,E1780N3165,7229,140.0,1.4736842105263157,E1780N3165
5022,77689.0,37619.0,E1775N3165,753,850.0,12.5,E1775N3165
