node_id,nearest_service_point,distance_to_service_point
756,718,1134.0178630599999
757,718,1006.9120545000002
758,718,966.6100694400001
759,718,888.80486396
760,718,873.2997035300001
761,718,842.8970720600001
762,718,427.54819275
763,657,791.306617804
764,753,788.74491243
765,718,576.8048901
766,753,836.71785107
767,718,443.26379010000005
768,753,1005.58716889
769,718,360.43524993
770,718,697.22316941
771,4356,1100.3668850640001
772,718,925.9210329400001
773,718,447.8473908330001
774,657,287.29688765
775,718,460.36642148
776,753,95.37574531
777,753,55.90943821
778,657,684.468543
779,931,866.433676703
780,718,1072.7541248100001
781,718,1012.1487547
782,718,1135.0566862199998
783,4356,1100.214487234
784,4356,1056.3596129339999
785,753,103.83364921
786,753,904.5550324400001
787,4356,1049.22869434
788,753,199.39235162999998
789,718,391.2393081
790,753,763.49611169
791,657,473.37566369
792,1026,774.36105957
793,931,711.277368403
794,753,748.13740081
795,657,754.6883407799999
796,753,116.97366443
797,753,654.53973366
798,753,640.39759804
799,657,513.6342746
800,753,766.23743202
801,753,749.77596185
802,718,1102.56120517
803,931,354.511111317
804,931,605.6233576029999
805,4356,1206.734720034
806,4387,1620.846654815
807,753,514.10822884
808,931,523.867630773
809,657,686.2731690500001
810,753,563.35736625
811,4356,939.25665244
812,753,1027.68624543
813,753,428.73258829
814,4387,1586.4649736449999
815,1026,732.6549396600001
816,753,364.60771012000004
817,1026,461.09588175000005
818,1026,485.85916102000004
819,931,377.04958956
820,753,247.75866222
821,931,805.220041293
822,931,466.616429913
823,4356,746.31833054
824,4356,1367.166274702
825,931,455.6268894329999
826,931,526.334517623
827,4356,1259.6174644899997
828,4356,1357.9695361499998
829,753,496.07724521000006
830,931,278.03191437000004
831,4356,782.92884815
832,753,456.0272764200001
833,931,365.17708989299996
834,753,270.62545035999995
835,931,643.7137255929999
836,931,234.20698073
837,753,289.38071629
838,657,615.19823492
839,718,1026.7965007400003
840,657,731.5539846
841,931,414.33725508000003
842,931,537.641815993
843,657,474.6201728100001
844,931,677.399628483
845,753,304.77194756
846,4356,1201.5275342099999
847,4356,1368.00742067
848,4356,853.0519541900001
849,657,725.35670028
850,931,444.92234662299995
851,4387,1560.155145219
852,931,782.197101473
853,4356,681.58989784
854,4356,732.55233499
855,4356,941.2858013
856,931,215.56072100999998
857,4356,1136.08977752
858,931,154.5726894
859,931,602.827448683
860,931,300.692595633
861,657,816.14315301
862,931,585.728618313
863,657,675.07897161
864,4356,772.7570610800001
865,931,210.475428813
866,931,374.411127413
867,931,261.585114783
868,657,431.79266881
869,931,404.10624485299996
870,753,551.8102102
871,931,290.443693253
872,4387,1482.092349979
873,4387,1476.5021800349998
874,753,869.04614042
875,931,441.80637748299995
876,657,665.35980385
877,931,724.9582160929999
878,4356,1014.23955377
879,753,589.83980394
880,753,1351.5632449999998
881,4356,404.4018429
882,931,386.91372657299996
883,753,853.16377545
884,931,480.17361240299994
885,657,1077.3163577999999
886,931,495.69295517300003
887,4356,1053.65186149
888,753,904.28960063
889,753,1083.04835926
890,4356,881.3224791800001
891,753,670.22350876
892,931,111.05970282999999
893,931,125.39985625
894,4356,827.4201199000001
895,4356,905.77426848
896,718,574.8238663
897,657,497.39638785
898,4356,473.57185085000003
899,657,749.79593356
900,931,59.08240009
901,931,560.014680293
902,657,615.15024301
903,1026,676.89671995
904,931,525.564426303
905,1026,892.740520066
906,4356,881.0143360100001
907,753,566.962833371
908,657,808.75575038
909,931,541.8609751030001
910,4387,1414.335951265
911,657,504.85428664000005
912,4356,541.46919984
