Square;Population;Male;Female;Age0-14;Age15-24;Age25-44;Age45-64;Age65+;Households;Single-person households;Multi-person households w/o kids;Single parent households;Two-parent households;Houses;Home ownership %;Rental %;Social housing %;Vacant houses;Avg. home value;Urbanization index;Median household income;Percentage low income households;Percentage high income households;Distance nearest supermarket in km;X;Y
E1785N3195;90;45;45;15;10;20;20;25;40;15;15;;10;35;90;;;;273;3;40-80 middle to above middle;;;0,5;90015,24994;65736,435
E1785N3200;30;15;15;;;5;10;10;15;;5;;;15;90;;;;239;5;20-60 below middle to middle;;;1,2;90015,24994;70355,6
E1785N3205;;;;;;;;;;;;;;;;;;;;5;;;;1;90015,24994;74974,765
E1785N3210;;;;;;;;;;;;;;;;;;;;5;;;;1,9;90015,24994;79593,93
E1785N3215;;;;;;;;;;;;;;;;;;;;5;;;;;90015,24994;84213,095
E1785N3220;15;5;10;;;;5;;5;;;;;10;;;;;166;5;;;;1,6;90015,24994;88832,26
E1790N3130;915;465;450;125;80;170;260;280;400;100;165;20;115;405;80;20;20;10;259;5;40-60 midden;30;19;0,9;97210,16661;5687,29
E1790N3135;490;240;245;45;70;65;165;145;230;70;95;5;50;235;70;30;20;20;303;5;60-80 above middle;29;29;1,1;97210,16661;10306,455
E1790N3140;25;15;10;10;;10;;;5;;;;5;5;;;;;309;4;;;;1,2;97210,16661;14925,62
E1790N3145;100;50;50;15;;40;25;15;45;15;15;;15;45;100;;;;270;4;60-80 above middle;;;0,7;97210,16661;19544,785
E1790N3150;100;50;50;15;5;30;20;25;45;15;20;;10;45;70;30;5;;260;3;40-80 middle to above middle;;;0,3;97210,16661;24163,95
E1790N3155;675;350;325;120;90;125;260;70;255;40;90;20;110;260;80;20;10;5;445;2;80-100 high;14;59;0,6;97210,16661;28783,115
E1790N3160;975;420;555;130;120;150;255;325;400;135;120;50;95;420;40;60;170;5;233;2;20-40 below middle;48;16;1;97210,16661;33402,28
E1790N3165;1560;750;815;150;155;350;415;490;880;420;270;55;135;830;50;50;365;25;188;2;20-60 below middle to middle;54;9;0,7;97210,16661;38021,445
E1790N3170;1040;520;520;120;110;235;275;305;580;275;180;35;85;580;40;60;290;25;234;2;20-40 below middle;55;16;0,4;97210,16661;42640,61
E1790N3175;630;290;340;50;150;120;160;150;390;255;80;15;40;285;40;60;110;10;269;2;20-40 below middle;54;23;0,7;97210,16661;47259,775
E1790N3180;195;90;105;30;45;45;45;25;105;60;25;;20;85;60;40;5;15;310;3;20-40 below middle;;;1;97210,16661;51878,94
E1790N3185;1005;490;515;130;155;170;370;180;405;80;145;30;155;395;90;10;20;5;321;3;60-80 above middle;15;31;0,8;97210,16661;56498,105
