NODE ID;X;Y;SQUARE
463;89109;21195;E1785N3145
464;89299;21195;E1785N3145
465;39472;21277;E1750N3145
466;90511;21170;E1785N3145
467;91359;21235;E1785N3145
468;70439;21285;E1770N3145
469;87434;21384;E1785N3145
470;91089;21375;E1785N3145
471;128074;21335;E1810N3145
472;75170;21436;E1775N3145
473;90143;21483;E1785N3145
474;91909;21545;E1785N3145
475;91109;21575;E1785N3145
476;90619;21645;E1785N3145
477;91109;21645;E1785N3145
478;88979;21675;E1785N3145
479;88159;21685;E1785N3145
480;74162;21700;E1775N3145
481;74439;21725;E1775N3145
482;75521;21769;E1775N3145
483;92859;21775;E1785N3145
484;93966;21727;E1790N3145
485;76399;21865;E1775N3150
486;74119;21905;E1775N3150
487;74407;21927;E1775N3150
488;77175;21956;E1775N3150
489;77666;22013;E1775N3150
490;78360;22033;E1775N3150
491;70059;22053;E1770N3150
492;90231;22090;E1785N3150
493;91899;22125;E1785N3150
494;86978;22136;E1785N3150
495;87176;22138;E1785N3150
496;91029;22145;E1785N3150
497;91149;22145;E1785N3150
498;87172;22233;E1785N3150
499;87937;22236;E1785N3150
500;88089;22235;E1785N3150
501;73269;22285;E1775N3150
502;88899;22305;E1785N3150
503;96270;22439;E1790N3150
504;74999;22475;E1775N3150
505;95174;22664;E1790N3150
506;74382;22748;E1775N3150
507;76439;22755;E1775N3150
508;93385;22749;E1785N3150
509;92528;22775;E1785N3150
510;91878;22865;E1785N3150
511;91729;22945;E1785N3150
512;70549;22955;E1770N3150
513;83618;22929;E1780N3150
514;71589;22985;E1770N3150
515;90439;22985;E1785N3150
516;107797;23071;E1795N3150
517;76659;23035;E1775N3150
518;79039;23075;E1775N3150
519;62436;23026;E1765N3150
520;75669;23085;E1775N3150
521;62186;23036;E1765N3150
522;72652;23090;E1775N3150
523;73268;23168;E1775N3150
524;87263;23238;E1785N3150
525;86170;23255;E1780N3150
526;74228;23285;E1775N3150
527;81099;23375;E1780N3150
528;80738;23379;E1780N3150
529;74904;23374;E1775N3150
530;88339;23445;E1785N3150
531;93606;23456;E1785N3150
532;87706;23532;E1785N3150
533;132796;23514;E1815N3150
534;92709;23505;E1785N3150
535;91949;23525;E1785N3150
536;137154;23542;E1820N3150
537;132533;23548;E1815N3150
538;80863;23577;E1780N3150
539;89379;23615;E1785N3150
540;89214;23620;E1785N3150
541;76409;23705;E1775N3150
542;87409;23805;E1785N3150
543;87728;23804;E1785N3150
544;75612;23792;E1775N3150
545;89491;23840;E1785N3150
546;86207;23946;E1780N3150
547;90669;23925;E1785N3150
548;75059;23935;E1775N3150
549;137017;23945;E1820N3150
550;72649;23955;E1775N3150
551;87744;24004;E1785N3150
552;90749;24005;E1785N3150
553;133834;24012;E1815N3150
554;70529;24025;E1770N3150
555;135123;24020;E1815N3150
556;92479;24045;E1785N3150
557;74599;24085;E1775N3150
558;93868;24110;E1790N3150
559;90149;24115;E1785N3150
560;89602;24175;E1785N3150
561;132704;24177;E1815N3150
562;93159;24195;E1785N3150
563;88819;24245;E1785N3150
564;56703;24262;E1760N3150
565;52885;24333;E1760N3150
566;56767;24303;E1760N3150
567;87769;24325;E1785N3150
568;86129;24385;E1780N3150
569;86229;24385;E1780N3150
570;114654;24614;E1800N3150
571;136839;24395;E1820N3150
572;72789;24405;E1775N3150
573;83409;24435;E1780N3150
574;84676;24411;E1780N3150
575;72509;24445;E1775N3150
576;69261;24441;E1770N3150
577;80114;24489;E1780N3150
578;72027;24490;E1770N3150
579;79641;24497;E1780N3150
580;89609;24555;E1785N3150
581;69862;24557;E1770N3150
582;70073;24598;E1770N3150
583;135323;24590;E1815N3150
584;93372;24711;E1785N3150
585;133879;24775;E1815N3150
586;92441;24770;E1785N3150
587;86239;24815;E1780N3150
588;86835;24925;E1785N3150
589;87791;24971;E1785N3150
590;133879;24975;E1815N3150
591;115615;25042;E1805N3150
592;88667;24991;E1785N3150
593;89613;25007;E1785N3150
594;87799;25043;E1785N3150
595;136137;25056;E1815N3150
596;86847;25126;E1785N3150
597;131179;25205;E1815N3150
598;79189;25239;E1775N3150
599;129899;25285;E1815N3150
600;133965;25378;E1815N3150
601;135809;25425;E1815N3150
602;133099;25445;E1815N3150
603;87789;25475;E1785N3150
604;89759;25495;E1785N3150
605;136465;25514;E1815N3150
606;136542;25507;E1815N3150
607;88713;25549;E1785N3150
608;88433;25567;E1785N3150
609;89860;25614;E1785N3150
610;127616;25460;E1810N3150
611;87598;25639;E1785N3150
612;80477;25656;E1780N3150
613;86240;25683;E1780N3150
614;88466;25733;E1785N3150
615;93856;25715;E1790N3150
616;118273;25751;E1805N3150
617;134063;25732;E1815N3150
618;93029;25795;E1785N3150
619;60162;25810;E1765N3150
620;133159;25835;E1815N3150
621;132919;25865;E1815N3150
622;127117;25774;E1810N3150
623;74419;25925;E1775N3150
624;129299;25925;E1810N3150
625;129689;25945;E1815N3150
626;89911;25981;E1785N3150
627;131677;26006;E1815N3150
628;122497;25980;E1810N3150
629;41068;26094;E1750N3150
630;75286;26027;E1775N3150
631;71928;26101;E1770N3150
632;87449;26125;E1785N3150
633;86824;26141;E1785N3150
634;69059;26148;E1770N3150
635;136575;26153;E1815N3150
636;126360;26270;E1810N3150
637;87451;26220;E1785N3150
638;87913;26241;E1785N3150
639;78253;26317;E1775N3150
640;92087;26331;E1785N3150
641;77049;26365;E1775N3150
642;93219;26435;E1785N3150
643;134231;26415;E1815N3150
644;93989;26475;E1790N3155
645;94129;26486;E1790N3155
646;88041;26361;E1785N3150
647;85603;26537;E1780N3155
648;133788;26479;E1815N3155
649;133241;26527;E1815N3155
650;60105;26591;E1765N3155
651;71739;26605;E1770N3155
652;131650;26579;E1815N3155
653;86339;26592;E1780N3155
654;89912;26616;E1785N3155
655;93204;26694;E1785N3155
656;75949;26685;E1775N3155
657;130503;26682;E1815N3155
658;43058;26750;E1750N3155
659;68169;26765;E1770N3155
660;127192;26775;E1810N3155
661;51592;26829;E1760N3155
662;68938;26786;E1770N3155
663;125794;26804;E1810N3155
664;76659;26875;E1775N3155
665;87679;26892;E1785N3155
666;74249;26915;E1775N3155
667;92229;26935;E1785N3155
668;61749;27005;E1765N3155
669;91319;27015;E1785N3155
670;89649;27025;E1785N3155
671;89849;27025;E1785N3155
672;62011;27022;E1765N3155
673;90655;27009;E1785N3155
674;87220;27042;E1785N3155
675;88789;27045;E1785N3155
676;41732;27076;E1750N3155
677;68889;27065;E1770N3155
678;74395;27087;E1775N3155
679;94882;27169;E1790N3155
680;122651;27218;E1810N3155
681;28817;27222;E1740N3155
682;68839;27235;E1770N3155
683;71479;27255;E1770N3155
684;75898;27254;E1775N3155
685;87673;27284;E1785N3155
686;69344;27335;E1770N3155
687;93371;27270;E1785N3155
688;95809;27315;E1790N3155
689;130505;27309;E1815N3155
690;91449;27335;E1785N3155
691;76481;27316;E1775N3155
692;72929;27365;E1775N3155
693;92279;27385;E1785N3155
694;133931;27380;E1815N3155
695;71409;27445;E1770N3155
696;86066;27320;E1780N3155
697;127216;27432;E1810N3155
698;88787;27397;E1785N3155
699;89984;27586;E1785N3155
700;127219;27609;E1810N3155
701;72849;27665;E1775N3155
702;86468;27687;E1785N3155
703;67739;27705;E1770N3155
704;75454;27688;E1775N3155
705;135209;27705;E1815N3155
706;75724;27718;E1775N3155
707;83347;27753;E1780N3155
708;84325;27741;E1780N3155
709;92353;27744;E1785N3155
710;73874;27776;E1775N3155
711;80382;27785;E1780N3155
712;130479;27795;E1815N3155
713;93294;27791;E1785N3155
714;76319;27825;E1775N3155
715;80079;27825;E1780N3155
716;87571;27780;E1785N3155
717;97295;27823;E1790N3155
718;88859;27856;E1785N3155
719;68251;27927;E1770N3155
720;96024;27938;E1790N3155
721;79029;27955;E1775N3155
722;74234;27999;E1775N3155
723;26509;28068;E1740N3155
724;72753;28043;E1775N3155
725;78197;28058;E1775N3155
726;71253;28058;E1770N3155
727;73949;28115;E1775N3155
728;134064;28111;E1815N3155
729;95013;28093;E1790N3155
730;133549;28185;E1815N3155
731;127939;28195;E1810N3155
732;128949;28205;E1810N3155
733;75449;28215;E1775N3155
734;88991;28206;E1785N3155
735;89669;28223;E1785N3155
736;26275;28339;E1740N3155
737;69669;28275;E1770N3155
738;75629;28275;E1775N3155
739;127389;28275;E1810N3155
740;70016;28332;E1770N3155
741;87445;28306;E1785N3155
742;88980;28364;E1785N3155
743;97612;28358;E1790N3155
744;130029;28415;E1815N3155
745;93267;28501;E1785N3155
746;133619;28505;E1815N3155
747;96219;28516;E1790N3155
748;92189;28601;E1785N3155
749;95164;28627;E1790N3155
750;125339;28635;E1810N3155
751;69889;28645;E1770N3155
752;75099;28665;E1775N3155
753;75319;28665;E1775N3155
754;126499;28675;E1810N3155
755;127619;28675;E1810N3155
756;83303;28702;E1780N3155
757;84574;28691;E1780N3155
758;84977;28687;E1780N3155
759;85755;28678;E1780N3155
760;85910;28674;E1780N3155
761;86214;28670;E1780N3155
762;90345;28721;E1785N3155
763;123462;28755;E1810N3155
764;78358;28699;E1775N3155
765;88874;28716;E1785N3155
766;67777;28730;E1770N3155
767;90502;28728;E1785N3155
768;80951;28768;E1780N3155
769;86049;28765;E1780N3155
770;93184;28742;E1785N3155
771;22836;28825;E1740N3155
772;85399;28783;E1780N3155
773;90211;28854;E1785N3155
774;130929;28835;E1815N3155
775;90607;28863;E1785N3155
776;74399;28885;E1775N3155
777;74848;28893;E1775N3155
778;124862;28921;E1810N3155
779;97919;28905;E1790N3155
780;83942;28930;E1780N3155
781;84548;28922;E1780N3155
782;83319;28935;E1780N3155
783;22878;28962;E1740N3155
784;22444;29025;E1740N3155
785;74376;28976;E1775N3155
786;79964;29025;E1780N3155
787;22375;29043;E1740N3155
788;73529;29045;E1775N3155
789;86054;29073;E1780N3155
790;78549;29070;E1775N3155
791;132749;29065;E1815N3155
792;56367;29062;E1760N3155
793;96377;29077;E1790N3155
794;78399;29103;E1775N3155
795;124183;29100;E1810N3155
796;74351;29105;E1775N3155
797;69549;29145;E1770N3155
798;69689;29165;E1770N3155
799;127909;29165;E1810N3155
800;78589;29175;E1775N3155
801;78426;29198;E1775N3155
802;83944;29228;E1780N3155
803;93473;29207;E1785N3155
804;95328;29203;E1790N3155
805;23894;29282;E1740N3155
806;43722;29246;E1755N3155
807;70939;29345;E1770N3155
808;89441;29352;E1785N3155
809;125349;29365;E1810N3155
810;76573;29386;E1775N3155
811;21346;29431;E1735N3155
812;67519;29405;E1770N3155
813;71789;29425;E1770N3155
814;43995;29455;E1755N3155
815;54565;29844;E1760N3155
816;72429;29465;E1775N3155
817;59472;29474;E1765N3155
818;59641;29293;E1765N3155
819;91280;29529;E1785N3155
820;73596;29524;E1775N3155
821;98167;29543;E1790N3155
822;88902;29545;E1785N3155
823;19654;29560;E1735N3155
824;25419;29586;E1740N3155
825;89008;29574;E1785N3155
826;88317;29665;E1785N3155
827;24373;29621;E1740N3155
828;25356;29653;E1740N3155
829;71349;29675;E1770N3155
830;92263;29648;E1785N3155
831;19997;29688;E1735N3155
832;71749;29695;E1770N3155
833;90228;29720;E1785N3155
834;73691;29732;E1775N3155
835;96565;29748;E1790N3155
836;93154;29775;E1785N3155
837;73865;29802;E1775N3155
838;134579;29805;E1815N3155
839;85164;29764;E1780N3155
840;125829;29815;E1810N3155
841;91099;29855;E1785N3155
842;95510;29858;E1790N3155
843;128319;29855;E1810N3155
844;97519;29915;E1790N3155
845;73765;29919;E1775N3155
846;23883;29933;E1740N3155
847;25782;29969;E1740N3155
848;20651;29941;E1735N3155
849;126018;30000;E1810N3155
850;94589;29965;E1790N3155
851;46451;30004;E1755N3155
852;98564;30013;E1790N3155
853;19210;30031;E1735N3155
854;19689;30205;E1735N3155
855;21507;30298;E1735N3155
856;92079;30245;E1785N3155
857;23332;30286;E1740N3155
858;92684;30322;E1785N3155
859;96889;30314;E1790N3155
860;90016;30329;E1785N3155
861;125175;30337;E1810N3155
862;96720;30340;E1790N3155
863;126377;30352;E1810N3155
864;20048;30386;E1735N3155
865;90943;30446;E1785N3155
866;89148;30374;E1785N3155
867;91449;30374;E1785N3155
868;128649;30425;E1810N3155
869;88856;30428;E1785N3155
870;71007;30464;E1770N3155
871;89986;30427;E1785N3155
872;45867;30522;E1755N3155
873;45829;30563;E1755N3155
874;78921;30148;E1775N3155
875;88485;30495;E1785N3155
876;126519;30505;E1810N3155
877;98839;30515;E1790N3155
878;22199;30529;E1740N3155
879;70635;30543;E1770N3155
880;83431;30559;E1780N3155
881;16950;30596;E1735N3155
882;94579;30545;E1790N3155
883;78724;30188;E1775N3155
884;88067;30572;E1785N3155
885;122629;30595;E1810N3155
886;87914;30598;E1785N3155
887;22581;30626;E1740N3155
888;78863;30680;E1775N3155
889;80747;30637;E1780N3155
890;21081;30720;E1735N3155
891;69850;30716;E1770N3155
892;92547;30735;E1785N3155
893;92689;30755;E1785N3155
894;19666;30777;E1735N3155
895;21311;30803;E1735N3155
896;85874;30900;E1780N3155
897;130137;30781;E1815N3155
898;17610;30803;E1735N3155
899;125734;30816;E1810N3155
900;92039;30845;E1785N3155
901;97228;30869;E1790N3155
902;126869;30865;E1810N3155
903;60245;30877;E1765N3155
904;96887;30918;E1790N3155
905;60419;30945;E1765N3155
906;20169;30962;E1735N3155
907;72919;30985;E1775N3155
908;125179;31015;E1810N3155
909;87561;31001;E1785N3155
910;46209;31055;E1755N3155
911;129019;31055;E1810N3155
912;18244;31046;E1735N3155
913;67924;31113;E1770N3160
914;71889;31095;E1770N3160
915;94859;31135;E1790N3160
916;20720;31171;E1735N3160
917;71620;31154;E1770N3160
918;86072;31122;E1780N3160
919;91265;31188;E1785N3160
920;99068;31204;E1790N3160
921;124629;31225;E1810N3160
922;45569;31245;E1755N3160
923;71112;31257;E1770N3160
924;90379;31265;E1785N3160
925;18902;31283;E1735N3160
926;77130;31356;E1775N3160
927;79034;31337;E1775N3160
928;88819;31345;E1785N3160
929;69259;31355;E1770N3160
930;70619;31355;E1770N3160
931;92296;31377;E1785N3160
932;92197;31389;E1785N3160
933;96989;31385;E1790N3160
934;58323;31447;E1765N3160
935;89029;31495;E1785N3160
