Square,Population,Male,Female,Age0-14,Age15-24,Age25-44,Age45-64,Age65+,Households,Single-person households,Multi-person households w/o kids,Single parent households,Two-parent households,Houses,Home ownership %,Rental %,Social housing %,Vacant houses,Avg. home value,Urbanization index,Median household income,Percentage low income households,Percentage high income households,Distance nearest supermarket in km,X,Y,Male.prop,Female.prop,Age0-14.prop,Age15-24.prop,Age25-44.prop,Age45-64.prop,Age65+.prop,Single-person households.prop,Multi-person households w/o kids.prop,Single parent households.prop,Two-parent households.prop,hold_house_ratio,pop_house_ratio,pop_hold_ratio,Income_median
E1745N3160,120,55.0,60.0,10.0,10.0,15.0,35.0,50.0,55.0,15.0,25.0,0.0,15.0,55.0,90.0,10.0,0.0,0.0,604.0,3.0,80-100 high,,,"1,3",32455.91661,33402.28,45.83333333333333,50.0,8.333333333333332,8.333333333333332,12.5,29.166666666666668,41.66666666666667,27.27272727272727,45.45454545454545,0.0,27.27272727272727,1.0,2.1818181818181817,2.1818181818181817,90.0
E1745N3165,1135,495.0,640.0,90.0,190.0,220.0,205.0,425.0,660.0,445.0,140.0,10.0,65.0,635.0,40.0,60.0,15.0,170.0,271.0,2.0,40-60 midden,51.0,18.0,1,32455.91661,38021.445,43.61233480176212,56.38766519823789,7.929515418502203,16.740088105726873,19.383259911894275,18.06167400881057,37.44493392070485,67.42424242424242,21.21212121212121,1.5151515151515151,9.848484848484848,1.0393700787401574,1.7874015748031495,1.7196969696969697,50.0
E1745N3170,3090,1365.0,1725.0,105.0,1745.0,750.0,290.0,200.0,2655.0,2370.0,170.0,30.0,85.0,495.0,50.0,50.0,170.0,85.0,240.0,1.0,20-60 below middle to middle,50.0,13.0,"0,7",32455.91661,42640.61,44.1747572815534,55.8252427184466,3.3980582524271843,56.47249190938511,24.271844660194176,9.385113268608414,6.472491909385113,89.26553672316385,6.4030131826742,1.1299435028248588,3.2015065913371,5.363636363636363,6.242424242424242,1.1638418079096045,40.0
E1745N3175,890,385.0,505.0,45.0,100.0,100.0,175.0,475.0,540.0,285.0,200.0,10.0,45.0,520.0,50.0,50.0,155.0,35.0,224.0,1.0,20-60 below middle to middle,56.0,9.0,"0,3",32455.91661,47259.775,43.258426966292134,56.74157303370787,5.056179775280898,11.235955056179774,11.235955056179774,19.662921348314608,53.37078651685393,52.77777777777778,37.03703703703704,1.8518518518518516,8.333333333333332,1.0384615384615385,1.7115384615384615,1.6481481481481481,40.0
E1745N3180,1460,685.0,775.0,160.0,275.0,365.0,330.0,335.0,870.0,505.0,195.0,75.0,90.0,820.0,30.0,70.0,395.0,55.0,154.0,1.0,20-40 below middle,71.0,4.0,"0,4",32455.91661,51878.94,46.917808219178085,53.082191780821915,10.95890410958904,18.835616438356166,25.0,22.602739726027394,22.945205479452056,58.04597701149425,22.413793103448278,8.620689655172415,10.344827586206897,1.0609756097560976,1.7804878048780488,1.6781609195402298,30.0
E1745N3185,1255,580.0,670.0,165.0,120.0,245.0,335.0,390.0,715.0,390.0,165.0,70.0,85.0,710.0,10.0,90.0,585.0,25.0,149.0,2.0,20-40 below middle,77.0,2.0,"0,3",32455.91661,56498.105,46.21513944223107,53.38645418326693,13.147410358565736,9.56175298804781,19.52191235059761,26.693227091633464,31.07569721115538,54.54545454545454,23.076923076923077,9.79020979020979,11.888111888111888,1.0070422535211268,1.767605633802817,1.7552447552447552,30.0
E1745N3190,1245,605.0,635.0,170.0,130.0,320.0,325.0,305.0,645.0,290.0,185.0,50.0,115.0,645.0,40.0,60.0,330.0,25.0,194.0,2.0,20-60 below middle to middle,52.0,10.0,"0,5",32455.91661,61117.27,48.59437751004016,51.00401606425703,13.654618473895583,10.441767068273093,25.702811244979916,26.104417670682732,24.497991967871485,44.96124031007752,28.68217054263566,7.751937984496124,17.829457364341085,1.0,1.930232558139535,1.930232558139535,40.0
E1745N3195,125,65.0,60.0,15.0,15.0,20.0,40.0,35.0,50.0,10.0,15.0,0.0,20.0,50.0,90.0,0.0,0.0,0.0,355.0,3.0,60-80 above middle,,,"0,8",32455.91661,65736.435,52.0,48.0,12.0,12.0,16.0,32.0,28.000000000000004,20.0,30.0,0.0,40.0,1.0,2.5,2.5,70.0
E1745N3200,45,25.0,20.0,5.0,15.0,10.0,15.0,0.0,20.0,10.0,0.0,0.0,5.0,15.0,90.0,0.0,0.0,0.0,208.0,5.0,20-60 below middle to middle,,,"1,3",32455.91661,70355.6,55.55555555555556,44.44444444444444,11.11111111111111,33.33333333333333,22.22222222222222,33.33333333333333,0.0,50.0,0.0,0.0,25.0,1.3333333333333333,3.0,2.25,40.0
E1745N3210,3,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,5.0,,,,,32455.91661,79593.93,33.33333333333333,66.66666666666666,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1750N3135,3,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,39650.83327,10306.455,66.66666666666666,33.33333333333333,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1750N3140,3,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,5.0,,,,,39650.83327,14925.62,66.66666666666666,33.33333333333333,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1750N3145,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,,,,"2,4",39650.83327,19544.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,inf,inf,
E1750N3150,15,10.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,940.0,5.0,,,,2,39650.83327,24163.95,66.66666666666666,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,100.0,0.0,0.0,0.0,1.0,1.5,1.5,
E1750N3155,3,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,5.0,,,,,39650.83327,28783.115,33.33333333333333,66.66666666666666,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1750N3160,150,75.0,75.0,20.0,10.0,30.0,40.0,55.0,70.0,20.0,35.0,0.0,15.0,65.0,90.0,0.0,0.0,0.0,524.0,3.0,80-100 high,,,"1,1",39650.83327,33402.28,50.0,50.0,13.333333333333334,6.666666666666667,20.0,26.666666666666668,36.666666666666664,28.57142857142857,50.0,0.0,21.428571428571427,1.0769230769230769,2.3076923076923075,2.142857142857143,90.0
E1750N3165,765,360.0,405.0,105.0,110.0,160.0,220.0,170.0,360.0,130.0,110.0,15.0,100.0,440.0,60.0,40.0,0.0,105.0,340.0,2.0,60-80 above middle,33.0,37.0,"0,6",39650.83327,38021.445,47.05882352941176,52.94117647058824,13.725490196078432,14.37908496732026,20.915032679738562,28.75816993464052,22.22222222222222,36.11111111111111,30.555555555555557,4.166666666666666,27.77777777777778,0.8181818181818182,1.7386363636363635,2.125,70.0
E1750N3170,2395,1135.0,1260.0,300.0,495.0,650.0,580.0,365.0,1470.0,885.0,260.0,170.0,140.0,1300.0,10.0,90.0,995.0,75.0,138.0,1.0,00-20 low,77.0,3.0,"0,3",39650.83327,42640.61,47.390396659707726,52.609603340292274,12.526096033402922,20.668058455114824,27.139874739039666,24.21711899791232,15.24008350730689,60.204081632653065,17.687074829931973,11.564625850340136,9.523809523809524,1.1307692307692307,1.8423076923076922,1.629251700680272,10.0
